image_dir,target
ISIC_1837609,0
ISIC_0238824,0
ISIC_4033321,0
ISIC_8960456,0
ISIC_5123366,0
ISIC_7025159,0
ISIC_7334875,0
ISIC_0655316,0
ISIC_6138955,0
ISIC_4709512,0
ISIC_8108596,0
ISIC_6544804,0
ISIC_5613199,0
ISIC_0576644,0
ISIC_6143791,0
ISIC_3286186,1
ISIC_7844825,1
ISIC_3720096,0
ISIC_1495793,0
ISIC_6598023,0
ISIC_2255411,1
ISIC_6306410,0
ISIC_7906462,0
ISIC_4458567,0
ISIC_7287303,1
ISIC_8493108,1
ISIC_5943266,0
ISIC_2012245,0
ISIC_2108938,0
ISIC_8380527,0
ISIC_8128335,0
ISIC_6676647,0
ISIC_9665763,0
ISIC_9614763,0
ISIC_1640113,0
ISIC_5438156,0
ISIC_1977265,0
ISIC_5869480,1
ISIC_2406492,1
ISIC_4465529,0
ISIC_9171392,0
ISIC_3028754,1
ISIC_7756373,0
ISIC_7816273,0
ISIC_2141237,1
ISIC_3446357,1
ISIC_7296201,0
ISIC_2334999,0
ISIC_5170482,0
ISIC_8931198,0
ISIC_2298440,0
ISIC_6904082,1
ISIC_2687068,0
ISIC_0908431,0
ISIC_8590181,0
ISIC_7961365,1
ISIC_7893482,0
ISIC_1110691,0
ISIC_1050268,0
ISIC_0761693,0
ISIC_7680948,1
ISIC_3196630,0
ISIC_2810451,0
ISIC_3590167,1
ISIC_1369967,1
ISIC_0487460,0
ISIC_0981639,1
ISIC_5829938,1
ISIC_9856321,0
ISIC_1611092,0
ISIC_6962305,0
ISIC_6671773,1
ISIC_7251852,0
ISIC_6312884,0
ISIC_2724529,1
ISIC_2699903,0
ISIC_7312097,0
ISIC_4553633,0
ISIC_1585511,0
ISIC_7543874,0
ISIC_1113490,1
ISIC_2172377,0
ISIC_8130596,0
ISIC_3534633,0
ISIC_3244067,1
ISIC_3234017,0
ISIC_3686179,0
ISIC_2558816,0
ISIC_2182856,1
ISIC_9042282,0
ISIC_9789769,0
ISIC_8050904,0
ISIC_4960802,1
ISIC_0275828,1
ISIC_9974860,0
ISIC_1607971,0
ISIC_5158305,0
ISIC_8183419,0
ISIC_6083609,0
ISIC_8838753,1
ISIC_3359880,1
ISIC_6682360,0
ISIC_3047806,0
ISIC_3642399,0
ISIC_3395644,0
ISIC_8922355,0
ISIC_5254982,0
ISIC_5805349,0
ISIC_2827638,0
ISIC_4648708,0
ISIC_5021861,1
ISIC_2408815,1
ISIC_3696488,1
ISIC_1611285,0
ISIC_2051278,0
ISIC_9407667,0
ISIC_4362713,1
ISIC_2692366,0
ISIC_9400162,0
