image_dir,target
ISIC_3768701,0
ISIC_3639123,0
ISIC_2679051,0
ISIC_3134556,0
ISIC_6299511,0
ISIC_3978646,0
ISIC_5644405,0
ISIC_1882699,0
ISIC_8859274,1
ISIC_0695014,0
ISIC_4160755,0
ISIC_1009042,1
ISIC_3139224,0
ISIC_6469507,0
ISIC_8854277,0
ISIC_8692218,1
ISIC_1071355,1
ISIC_4362614,0
ISIC_1157032,1
ISIC_2808323,0
ISIC_8284404,0
ISIC_2773596,0
ISIC_0675512,0
ISIC_9593811,0
ISIC_4677620,0
ISIC_8194835,1
ISIC_9758444,0
ISIC_1063407,0
ISIC_0319928,0
ISIC_1484659,1
ISIC_7693611,1
ISIC_7492684,0
ISIC_5797062,1
ISIC_8056594,0
ISIC_6968933,0
ISIC_9821002,1
ISIC_9089757,0
ISIC_8867296,0
ISIC_8417873,1
ISIC_9155003,0
ISIC_5796736,0
ISIC_7113136,0
ISIC_9824967,0
ISIC_9153619,0
ISIC_2126084,0
ISIC_7658729,1
ISIC_1579745,0
ISIC_3809396,0
ISIC_8397275,0
ISIC_3002956,1
ISIC_2619533,0
ISIC_2668481,1
ISIC_6927840,1
ISIC_1903848,0
ISIC_0571058,0
ISIC_7068548,0
ISIC_8677053,1
ISIC_2832584,0
ISIC_1620401,1
ISIC_3941123,1
ISIC_7189099,0
ISIC_5958295,0
ISIC_7662910,1
ISIC_3429011,0
ISIC_6496370,1
ISIC_9863642,1
ISIC_7489564,1
ISIC_2967024,1
ISIC_6132725,0
ISIC_3704790,0
ISIC_5783764,0
ISIC_5029636,0
ISIC_6701139,0
ISIC_4874287,0
ISIC_9212054,0
ISIC_1249539,0
ISIC_7755444,0
ISIC_8405944,0
ISIC_3384989,0
ISIC_7760219,0
ISIC_1886480,0
ISIC_9524576,0
ISIC_6355245,0
ISIC_3093026,1
ISIC_2517072,0
ISIC_5247560,1
ISIC_1975042,1
ISIC_0586396,0
ISIC_9611250,0
ISIC_2342769,1
ISIC_3117368,0
ISIC_7205378,0
ISIC_5940866,0
ISIC_1255336,1
ISIC_2844539,1
ISIC_1311781,0
ISIC_1300891,0
ISIC_1828419,0
ISIC_3370255,0
ISIC_4769266,0
ISIC_6348638,1
ISIC_5499820,0
ISIC_9788174,0
ISIC_6319225,0
ISIC_5006877,0
ISIC_7100755,1
ISIC_9195475,0
ISIC_4591316,0
ISIC_0691554,0
ISIC_5086349,1
ISIC_1789408,0
ISIC_6786198,1
ISIC_2101624,1
ISIC_8566006,1
ISIC_0961235,1
ISIC_1864109,0
ISIC_2285264,0
ISIC_8130007,0
ISIC_0552296,0
ISIC_9933282,0
ISIC_0482297,0
ISIC_0844312,1
ISIC_9627932,0
ISIC_2609984,1
ISIC_4524763,0
ISIC_4581058,0
ISIC_5011222,0
ISIC_3205052,0
ISIC_3882551,0
ISIC_7592920,0
ISIC_8846695,0
ISIC_8497457,1
ISIC_2922099,0
ISIC_6056657,0
ISIC_2787702,1
ISIC_4201406,0
ISIC_7763831,0
ISIC_7079349,1
ISIC_5408353,0
ISIC_1164529,0
ISIC_4009870,1
ISIC_2071966,1
ISIC_6562849,0
ISIC_8635849,0
ISIC_3408231,1
ISIC_1490117,0
ISIC_9544832,1
ISIC_5840975,0
ISIC_8563737,0
ISIC_8281208,1
ISIC_8817889,0
ISIC_7181296,1
ISIC_8106899,1
ISIC_2861317,0
ISIC_0455625,0
ISIC_9886225,0
ISIC_2079300,0
ISIC_7810526,0
ISIC_8808627,0
ISIC_2522055,0
ISIC_7173463,0
ISIC_8052769,1
ISIC_1797927,0
ISIC_6753148,0
ISIC_6248008,1
ISIC_1467583,0
ISIC_5315062,1
ISIC_0961888,0
ISIC_8887039,0
ISIC_1710970,0
ISIC_3025889,1
ISIC_3684488,1
ISIC_2822718,1
ISIC_6228963,1
ISIC_5077664,0
ISIC_0862745,1
ISIC_8144706,0
ISIC_6878417,0
ISIC_1630301,1
ISIC_2103508,0
ISIC_5561397,0
ISIC_5343231,1
ISIC_4345522,0
ISIC_0232101,1
ISIC_9548821,1
ISIC_6103060,0
ISIC_2780122,0
ISIC_5084360,0
ISIC_3285862,0
ISIC_9946910,0
ISIC_4575091,0
ISIC_7409165,0
ISIC_7776719,0
ISIC_2892384,0
ISIC_1177505,1
ISIC_7101732,1
ISIC_2291042,0
ISIC_3111591,0
ISIC_2608471,0
ISIC_4980656,1
ISIC_3758464,0
ISIC_7104110,0
ISIC_2072219,1
ISIC_6450034,1
ISIC_0397577,0
ISIC_7841085,0
ISIC_3331982,0
ISIC_2671268,0
ISIC_3952070,0
ISIC_6982343,0
ISIC_2105563,1
ISIC_5018520,0
ISIC_5905077,0
ISIC_4578194,0
ISIC_4981344,0
ISIC_9338267,0
ISIC_8010968,0
ISIC_9889201,0
ISIC_8002875,1
ISIC_0300915,0
ISIC_1353532,0
ISIC_1307651,0
ISIC_9633789,0
ISIC_2027392,0
ISIC_4735706,0
ISIC_9616986,0
ISIC_7533334,0
ISIC_3793957,0
ISIC_7503950,1
ISIC_9659443,0
ISIC_2535541,1
ISIC_3474609,0
ISIC_8253326,0
ISIC_8521610,1
ISIC_5702591,0
ISIC_7971509,0
ISIC_1059525,0
ISIC_2709809,0
ISIC_8920739,0
ISIC_5297111,0
ISIC_8652341,0
ISIC_1177153,1
ISIC_8319768,0
ISIC_1797795,1
ISIC_2864550,0
ISIC_8785777,0
ISIC_5388184,1
ISIC_2939734,0
ISIC_8370471,0
ISIC_1758119,0
ISIC_3207651,1
ISIC_1518678,0
ISIC_2153686,1
ISIC_6167377,0
ISIC_5327271,0
ISIC_8675566,0
ISIC_8609756,1
ISIC_7481083,0
ISIC_4936662,1
ISIC_9052538,0
ISIC_8373218,0
ISIC_4812508,0
ISIC_6767569,1
ISIC_4508878,1
ISIC_9855682,0
ISIC_7617445,0
ISIC_7459806,0
ISIC_0508284,0
ISIC_0337541,0
ISIC_3657135,0
ISIC_8133350,1
ISIC_4074094,0
ISIC_4762621,0
ISIC_9223679,0
ISIC_1755019,0
ISIC_4493482,1
ISIC_7024161,0
ISIC_4842587,1
ISIC_8357384,0
ISIC_8826722,0
ISIC_7692948,0
ISIC_5312909,0
ISIC_6620035,0
ISIC_2027628,0
ISIC_2750230,1
ISIC_3253484,1
ISIC_3450191,0
ISIC_3043105,0
ISIC_4229473,1
ISIC_7130929,1
ISIC_8637407,0
ISIC_1942980,0
ISIC_7558912,0
ISIC_1319537,0
ISIC_3944634,1
ISIC_4647349,0
ISIC_0181445,0
ISIC_0287683,0
ISIC_4916704,1
ISIC_7577395,1
ISIC_5091090,0
ISIC_2963146,0
ISIC_8381531,1
ISIC_4619789,1
ISIC_3143604,0
ISIC_7476803,0
ISIC_5623735,0
ISIC_4756595,0
ISIC_6688417,1
ISIC_8527092,1
ISIC_1210011,1
ISIC_3148533,0
ISIC_5267208,1
ISIC_1200192,1
ISIC_2023594,0
ISIC_1545489,0
ISIC_4527901,0
ISIC_2092150,0
ISIC_5388493,0
ISIC_5843515,0
ISIC_2468572,0
ISIC_6199335,0
ISIC_8672524,1
ISIC_4012074,0
ISIC_8379956,1
ISIC_8157654,1
ISIC_2176112,1
ISIC_1740430,0
ISIC_4752151,0
ISIC_6430323,0
ISIC_5566237,0
ISIC_4373904,0
ISIC_0261693,0
ISIC_8156142,0
ISIC_7960321,1
ISIC_0151200,0
ISIC_5977230,0
ISIC_6056121,1
ISIC_6961503,1
ISIC_9910791,1
ISIC_2951492,0
ISIC_0906053,0
ISIC_2541969,0
ISIC_2447578,1
ISIC_4758757,0
ISIC_9182611,0
ISIC_3860404,0
ISIC_6544382,0
ISIC_6736062,0
ISIC_1170961,0
ISIC_7621674,0
ISIC_2155496,0
ISIC_7570942,0
ISIC_0457385,0
ISIC_9492750,0
ISIC_8892018,0
ISIC_3343475,1
ISIC_1037315,1
ISIC_0388873,0
ISIC_2437633,1
ISIC_8260157,0
ISIC_1862691,0
ISIC_0464315,0
ISIC_3854244,0
ISIC_6213445,0
ISIC_4120174,1
ISIC_4676270,1
ISIC_1973815,0
ISIC_9978107,1
ISIC_7546219,1
ISIC_3023646,1
ISIC_0639769,1
ISIC_0632876,0
ISIC_2275597,0
ISIC_6026899,0
ISIC_0247330,1
ISIC_7383044,0
ISIC_0342608,0
ISIC_6932481,0
ISIC_3877413,0
ISIC_6398669,1
ISIC_7145266,0
ISIC_7748311,1
ISIC_3455285,0
ISIC_9012536,0
ISIC_2309744,1
ISIC_3826001,0
ISIC_9569669,0
ISIC_7940744,0
ISIC_4170698,1
ISIC_7102464,0
ISIC_9118521,0
ISIC_9280075,0
ISIC_0385579,0
ISIC_7261174,1
ISIC_9509771,0
ISIC_0373585,0
ISIC_6601052,0
ISIC_1605629,1
ISIC_2479346,0
ISIC_1785293,0
ISIC_0830217,0
ISIC_0562223,0
ISIC_2804864,0
ISIC_7501061,0
ISIC_3699454,0
ISIC_3503289,0
ISIC_3144222,1
ISIC_5581931,1
ISIC_7927525,1
ISIC_9770677,1
ISIC_4622069,0
ISIC_1013648,0
ISIC_4000481,1
ISIC_4387797,0
ISIC_0678299,0
ISIC_8664196,0
ISIC_7648111,0
ISIC_8829480,0
ISIC_3549384,0
ISIC_4542016,0
ISIC_8985109,1
ISIC_7661668,0
ISIC_7936755,1
ISIC_5200791,0
ISIC_2047791,0
ISIC_5076700,0
ISIC_9865913,0
ISIC_1956504,1
ISIC_4775838,0
ISIC_6851408,1
ISIC_0538042,0
ISIC_8754972,0
ISIC_7084553,1
ISIC_1451092,0
ISIC_1010416,0
ISIC_0198331,0
ISIC_5164059,0
ISIC_4743738,0
ISIC_3445801,0
ISIC_9053910,1
ISIC_4533664,0
ISIC_6255113,1
ISIC_3251405,0
ISIC_5579667,0
ISIC_7327423,1
ISIC_6541615,1
ISIC_5264912,0
ISIC_6938217,0
ISIC_6699854,0
ISIC_5084113,1
ISIC_7106587,0
ISIC_7293349,0
ISIC_0244877,0
ISIC_3990263,0
ISIC_0953317,1
ISIC_9700920,0
ISIC_9329713,0
ISIC_7952863,0
ISIC_4653503,1
ISIC_1796649,0
ISIC_5620520,0
ISIC_6806540,0
ISIC_9282976,0
ISIC_4730066,1
ISIC_3550939,0
ISIC_8872158,1
ISIC_7234522,0
ISIC_3136309,0
ISIC_7252784,0
ISIC_5506059,0
ISIC_1589997,1
ISIC_9228573,1
ISIC_8951909,1
ISIC_2122585,0
ISIC_4139260,0
ISIC_6307850,0
ISIC_3963183,1
ISIC_6809586,1
ISIC_0152823,0
ISIC_5109915,0
ISIC_8588033,0
ISIC_7785723,1
ISIC_2206577,0
ISIC_4408559,1
ISIC_5336451,0
ISIC_5415761,1
ISIC_2507944,0
ISIC_6561111,1
ISIC_6607519,0
ISIC_7249063,0
ISIC_4378584,0
ISIC_7369690,0
ISIC_7687686,0
ISIC_6668308,0
ISIC_1729223,1
ISIC_1640164,0
ISIC_8741881,0
ISIC_2979268,1
ISIC_7441957,0
ISIC_6496251,1
ISIC_5239242,0
ISIC_8894528,0
ISIC_0337631,1
ISIC_0591057,0
ISIC_0599605,1
ISIC_9697899,0
ISIC_3481732,0
ISIC_1068686,1
ISIC_3455331,0
ISIC_1667579,0
ISIC_4161205,0
ISIC_6089817,0
ISIC_2523676,0
ISIC_2742786,0
ISIC_3640690,0
ISIC_3934537,0
ISIC_3203344,1
ISIC_8477065,0
ISIC_8306697,1
ISIC_7346228,1
ISIC_1154072,0
ISIC_7582315,0
ISIC_7242384,1
ISIC_1306020,0
ISIC_6846447,0
ISIC_8067714,0
ISIC_0080752,0
ISIC_5644364,0
ISIC_9581761,0
ISIC_9367522,1
ISIC_5855004,0
ISIC_0502582,1
ISIC_7410175,1
ISIC_9299721,0
ISIC_7075474,1
ISIC_5369000,1
ISIC_1978426,0
ISIC_7973598,1
ISIC_7183212,1
ISIC_8828770,0
ISIC_6831734,0
ISIC_7888236,0
ISIC_8323234,0
ISIC_5604110,0
ISIC_3733653,1
ISIC_6888012,0
ISIC_7320371,1
ISIC_6625102,1
ISIC_0754233,0
ISIC_4737689,0
ISIC_7171799,0
ISIC_9268487,1
ISIC_7583768,0
ISIC_4042947,0
ISIC_8036175,0
ISIC_2384774,0
ISIC_1241817,1
ISIC_8568772,0
ISIC_4161227,0
ISIC_8325226,1
ISIC_3215524,0
ISIC_3667487,0
ISIC_1290295,0
ISIC_4525317,1
ISIC_6580862,0
ISIC_9451910,0
ISIC_5439041,0
ISIC_5036393,0
ISIC_2791755,0
ISIC_1803544,0
ISIC_8813303,0
ISIC_5854870,0
ISIC_2977144,0
ISIC_8906555,0
ISIC_7437127,0
ISIC_1870184,0
ISIC_9157448,0
ISIC_5459207,0
ISIC_0580068,0
ISIC_5458166,0
ISIC_3246696,0
ISIC_1315123,0
ISIC_7387265,0
ISIC_5647697,0
ISIC_7016261,0
ISIC_7865245,0
ISIC_8755312,0
ISIC_9266440,0
ISIC_0876230,0
ISIC_3860032,0
ISIC_8617532,0
ISIC_5491641,0
ISIC_7560495,0
ISIC_0246090,0
ISIC_8315838,0
ISIC_7805607,0
ISIC_6602901,0
ISIC_0960088,0
ISIC_1491993,0
ISIC_9895436,0
ISIC_9106670,0
ISIC_9652183,0
ISIC_7211332,0
ISIC_4553390,0
ISIC_7079653,0
ISIC_6018905,0
ISIC_6428488,0
ISIC_5021938,0
ISIC_2148360,0
ISIC_6364227,0
ISIC_8996798,0
ISIC_4792338,0
ISIC_5566810,0
ISIC_2700308,0
ISIC_8501844,0
ISIC_3418245,0
ISIC_8439858,0
ISIC_1092323,0
ISIC_7976463,0
ISIC_4075583,0
ISIC_4147040,0
ISIC_7343838,0
ISIC_3524881,0
ISIC_0898483,0
ISIC_5526279,0
ISIC_9579506,0
ISIC_1331993,0
ISIC_3726005,0
ISIC_3354831,0
ISIC_9331097,0
ISIC_4680528,0
ISIC_0839367,0
ISIC_3012778,0
ISIC_4036507,0
ISIC_9162451,0
ISIC_8575776,0
ISIC_7860012,0
ISIC_0076742,0
ISIC_0076545,0
ISIC_0381342,0
ISIC_4207851,0
ISIC_8917822,0
